id_fix,id_ave,especie,nombre_comun,sexo,timestamp,fecha_hora_local,lon,lat,x_utm,y_utm,hdop,n_sat,bateria_v
21,ANS01,Anser anser,Ánsar común,M,2019-10-25T09:00:20Z,2019-10-25 11:00:20,-6.216693,37.105095,747333.2,4110156.8,2.3,12,4.05
22,ANS01,Anser anser,Ánsar común,M,2019-10-25T10:01:58Z,2019-10-25 12:01:58,-6.213131,37.107674,747641.3,4110452.3,1.0,6,4.08
23,ANS01,Anser anser,Ánsar común,M,2019-10-25T11:00:38Z,2019-10-25 13:00:38,-6.213562,37.107273,747604.3,4110406.6,2.3,12,4.13
24,ANS01,Anser anser,Ánsar común,M,2019-10-25T12:01:53Z,2019-10-25 14:01:53,-6.215872,37.108445,747395.2,4110530.7,1.0,7,4.1
25,ANS01,Anser anser,Ánsar común,M,2019-10-25T13:00:33Z,2019-10-25 15:00:33,-6.214741,37.108317,747496.2,4110519.4,2.1,5,4.03
26,ANS01,Anser anser,Ánsar común,M,2019-10-25T14:02:17Z,2019-10-25 16:02:17,-6.214598,37.108805,747507.3,4110574.0,2.8,11,4.05
27,ANS01,Anser anser,Ánsar común,M,2019-10-25T15:00:49Z,2019-10-25 17:00:49,-6.214924,37.109838,747474.9,4110687.8,2.4,11,3.94
28,ANS01,Anser anser,Ánsar común,M,2019-10-25T16:00:39Z,2019-10-25 18:00:39,-6.21343,37.10771,747614.6,4110455.5,1.9,6,3.9
29,ANS01,Anser anser,Ánsar común,M,2019-10-25T17:00:09Z,2019-10-25 19:00:09,-6.253138,36.945873,744604.4,4092393.7,2.1,6,3.81
30,ANS01,Anser anser,Ánsar común,M,2019-10-25T18:00:30Z,2019-10-25 20:00:30,-6.253225,36.945684,744597.2,4092372.5,2.4,6,3.76
31,ANS01,Anser anser,Ánsar común,M,2019-10-25T19:01:35Z,2019-10-25 21:01:35,-6.252098,36.945473,744698.2,4092352.1,0.9,8,3.74
32,ANS01,Anser anser,Ánsar común,M,2019-10-25T20:00:30Z,2019-10-25 22:00:30,-6.252374,36.946255,744671.2,4092438.1,0.9,8,3.82
33,ANS01,Anser anser,Ánsar común,M,2019-10-25T21:02:27Z,2019-10-25 23:02:27,-6.252391,36.945826,744671.0,4092390.4,2.1,12,3.71
34,ANS01,Anser anser,Ánsar común,M,2019-10-25T22:02:26Z,2019-10-26 00:02:26,-6.252443,36.945617,744667.1,4092367.1,1.6,8,3.85
35,ANS01,Anser anser,Ánsar común,M,2019-10-25T23:01:49Z,2019-10-26 01:01:49,-6.252359,36.9457,744674.3,4092376.6,2.5,8,3.8
36,ANS01,Anser anser,Ánsar común,M,2019-10-26T00:00:39Z,2019-10-26 02:00:39,-6.253104,36.945815,744607.5,4092387.4,2.0,8,3.7
37,ANS01,Anser anser,Ánsar común,M,2019-10-26T01:00:06Z,2019-10-26 03:00:06,-6.252003,36.94646,744703.5,4092461.7,1.2,11,3.75
38,ANS01,Anser anser,Ánsar común,M,2019-10-26T02:00:22Z,2019-10-26 04:00:22,-6.253054,36.945515,744613.0,4092354.2,1.6,9,3.78
39,ANS01,Anser anser,Ánsar común,M,2019-10-26T03:02:12Z,2019-10-26 05:02:12,-6.251947,36.946158,744709.5,4092428.4,1.9,5,3.7
40,ANS01,Anser anser,Ánsar común,M,2019-10-26T04:01:27Z,2019-10-26 06:01:27,-6.252862,36.945635,744629.7,4092368.0,3.3,10,3.82
41,ANS01,Anser anser,Ánsar común,M,2019-10-26T05:01:25Z,2019-10-26 07:01:25,-6.253085,36.945359,744610.7,4092336.8,2.2,8,3.82
42,ANS01,Anser anser,Ánsar común,M,2019-10-26T06:00:34Z,2019-10-26 08:00:34,-6.140994,37.18842,753782.6,4119603.7,1.6,10,3.92
43,ANS01,Anser anser,Ánsar común,M,2019-10-26T07:01:43Z,2019-10-26 09:01:43,-6.143008,37.185846,753612.5,4119312.7,1.8,12,4.01
44,ANS01,Anser anser,Ánsar común,M,2019-10-26T08:00:11Z,2019-10-26 10:00:11,-6.139972,37.186634,753879.4,4119408.3,1.9,6,4.0
45,ANS01,Anser anser,Ánsar común,M,2019-10-26T09:00:17Z,2019-10-26 11:00:17,-6.142241,37.188146,753672.9,4119569.9,1.9,5,4.07
46,ANS01,Anser anser,Ánsar común,M,2019-10-26T10:02:05Z,2019-10-26 12:02:05,-6.142215,37.187022,753678.9,4119445.3,1.0,12,4.09
47,ANS01,Anser anser,Ánsar común,M,2019-10-26T11:02:01Z,2019-10-26 13:02:01,-6.140553,37.189064,753819.7,4119676.4,1.4,8,4.09
48,ANS01,Anser anser,Ánsar común,M,2019-10-26T12:01:26Z,2019-10-26 14:01:26,-6.14601,37.190105,753331.7,4119777.2,1.7,9,4.08
49,ANS01,Anser anser,Ánsar común,M,2019-10-26T13:00:53Z,2019-10-26 15:00:53,-6.143698,37.187331,753546.3,4119475.7,1.2,12,4.08
50,ANS01,Anser anser,Ánsar común,M,2019-10-26T14:01:50Z,2019-10-26 16:01:50,-6.144961,37.186817,753435.8,4119415.2,1.9,6,4.08
51,ANS01,Anser anser,Ánsar común,M,2019-10-26T15:01:16Z,2019-10-26 17:01:16,-6.144539,37.189586,753464.0,4119723.6,2.1,10,3.94
52,ANS01,Anser anser,Ánsar común,M,2019-10-26T16:00:46Z,2019-10-26 18:00:46,-6.252879,36.945703,744627.9,4092375.5,1.5,8,3.87
53,ANS01,Anser anser,Ánsar común,M,2019-10-26T17:00:50Z,2019-10-26 19:00:50,-6.253446,36.946043,744576.4,4092411.8,1.7,10,3.81
54,ANS01,Anser anser,Ánsar común,M,2019-10-26T18:01:18Z,2019-10-26 20:01:18,-6.251908,36.946286,744712.6,4092442.7,0.9,6,3.72
55,ANS01,Anser anser,Ánsar común,M,2019-10-26T19:00:09Z,2019-10-26 21:00:09,-6.253234,36.946729,744593.1,4092488.5,1.2,7,3.75
56,ANS01,Anser anser,Ánsar común,M,2019-10-26T20:01:07Z,2019-10-26 22:01:07,-6.252537,36.946079,744657.2,4092418.1,2.7,7,3.7
57,ANS01,Anser anser,Ánsar común,M,2019-10-26T21:01:53Z,2019-10-26 23:01:53,-6.252191,36.945415,744690.1,4092345.3,2.3,9,3.75
58,ANS01,Anser anser,Ánsar común,M,2019-10-26T22:00:24Z,2019-10-27 00:00:24,-6.252359,36.945591,744674.6,4092364.4,1.9,11,3.75
59,ANS01,Anser anser,Ánsar común,M,2019-10-26T23:01:03Z,2019-10-27 01:01:03,-6.252323,36.946009,744676.5,4092410.9,1.1,5,3.72
60,ANS01,Anser anser,Ánsar común,M,2019-10-27T01:00:11Z,2019-10-27 02:00:11,-6.252099,36.94607,744696.2,4092418.2,1.8,8,3.8
61,ANS01,Anser anser,Ánsar común,M,2019-10-27T02:00:52Z,2019-10-27 03:00:52,-6.252677,36.946103,744644.7,4092420.4,1.9,5,3.75
62,ANS01,Anser anser,Ánsar común,M,2019-10-27T03:01:28Z,2019-10-27 04:01:28,-6.252294,36.946401,744677.8,4092454.5,1.4,10,3.71
63,ANS01,Anser anser,Ánsar común,M,2019-10-27T04:01:04Z,2019-10-27 05:01:04,-6.252271,36.946951,744678.1,4092515.5,1.5,6,3.73
64,ANS01,Anser anser,Ánsar común,M,2019-10-27T05:01:37Z,2019-10-27 06:01:37,-6.252966,36.945524,744620.8,4092355.4,1.8,12,3.78
65,ANS01,Anser anser,Ánsar común,M,2019-10-27T06:00:07Z,2019-10-27 07:00:07,-6.252505,36.945588,744661.7,4092363.7,1.5,9,3.82
66,ANS01,Anser anser,Ánsar común,M,2019-10-27T07:01:47Z,2019-10-27 08:01:47,-6.2278,37.112548,746321.8,4110954.9,1.9,7,3.91
67,ANS01,Anser anser,Ánsar común,M,2019-10-27T08:02:09Z,2019-10-27 09:02:09,-6.224217,37.11108,746645.0,4110801.3,1.8,5,3.99
68,ANS01,Anser anser,Ánsar común,M,2019-10-27T09:00:27Z,2019-10-27 10:00:27,-6.22488,37.112817,746580.5,4110992.4,1.4,8,3.96
69,ANS01,Anser anser,Ánsar común,M,2019-10-27T10:01:24Z,2019-10-27 11:01:24,-6.223001,37.114212,746742.9,4111152.1,3.6,12,4.05
70,ANS01,Anser anser,Ánsar común,M,2019-10-27T11:01:53Z,2019-10-27 12:01:53,-6.221742,37.112981,746858.8,4111018.8,1.7,12,4.16
71,ANS01,Anser anser,Ánsar común,M,2019-10-27T12:00:07Z,2019-10-27 13:00:07,-6.22299,37.113842,746745.1,4111111.1,2.2,11,4.05
72,ANS01,Anser anser,Ánsar común,M,2019-10-27T13:00:43Z,2019-10-27 14:00:43,-6.223729,37.112146,746684.9,4110921.0,1.6,8,4.11
73,ANS01,Anser anser,Ánsar común,M,2019-10-27T14:02:17Z,2019-10-27 15:02:17,-6.221446,37.112136,746887.8,4110925.8,1.5,7,4.11
74,ANS01,Anser anser,Ánsar común,M,2019-10-27T15:00:18Z,2019-10-27 16:00:18,-6.224489,37.114988,746608.2,4111234.4,2.8,12,4.02
75,ANS01,Anser anser,Ánsar común,M,2019-10-27T16:01:10Z,2019-10-27 17:01:10,-6.221672,37.114183,746861.1,4111152.4,1.5,7,3.92
76,ANS01,Anser anser,Ánsar común,M,2019-10-27T17:01:02Z,2019-10-27 18:01:02,-6.252308,36.945857,744678.3,4092394.1,1.8,8,3.92
77,ANS01,Anser anser,Ánsar común,M,2019-10-27T18:01:29Z,2019-10-27 19:01:29,-6.252047,36.945822,744701.7,4092390.8,1.5,6,3.86
78,ANS01,Anser anser,Ánsar común,M,2019-10-27T19:00:26Z,2019-10-27 20:00:26,-6.251964,36.94599,744708.6,4092409.7,2.0,8,3.72
79,ANS01,Anser anser,Ánsar común,M,2019-10-27T20:00:19Z,2019-10-27 21:00:19,-6.251806,36.944973,744725.9,4092297.3,1.6,12,3.77
80,ANS01,Anser anser,Ánsar común,M,2019-10-27T21:00:17Z,2019-10-27 22:00:17,-6.252825,36.945794,744632.5,4092385.8,2.0,9,3.78
81,ANS01,Anser anser,Ánsar común,M,2019-10-27T22:01:42Z,2019-10-27 23:01:42,-6.25272,36.945972,744641.3,4092405.8,1.8,12,3.73
82,ANS01,Anser anser,Ánsar común,M,2019-10-27T23:01:40Z,2019-10-28 00:01:40,-6.252455,36.946141,744664.3,4092425.2,1.4,11,3.8
83,ANS01,Anser anser,Ánsar común,M,2019-10-28T00:00:20Z,2019-10-28 01:00:20,-6.252326,36.946586,744674.4,4092474.9,2.1,9,3.68
84,ANS01,Anser anser,Ánsar común,M,2019-10-28T01:02:27Z,2019-10-28 02:02:27,-6.253013,36.945963,744615.2,4092404.0,1.5,6,3.7
85,ANS01,Anser anser,Ánsar común,M,2019-10-28T02:00:44Z,2019-10-28 03:00:44,-6.252114,36.945822,744695.7,4092390.7,1.6,11,3.7
86,ANS01,Anser anser,Ánsar común,M,2019-10-28T03:01:32Z,2019-10-28 04:01:32,-6.253167,36.945712,744602.3,4092375.8,1.8,5,3.7
87,ANS01,Anser anser,Ánsar común,M,2019-10-28T04:00:02Z,2019-10-28 05:00:02,-6.252951,36.946517,744618.9,4092465.7,1.9,9,3.67
88,ANS01,Anser anser,Ánsar común,M,2019-10-28T05:02:23Z,2019-10-28 06:02:23,-6.252298,36.945555,744680.2,4092360.6,2.2,8,3.76
89,ANS01,Anser anser,Ánsar común,M,2019-10-28T06:01:47Z,2019-10-28 07:01:47,-6.252467,36.945722,744664.6,4092378.7,1.1,12,3.84
90,ANS01,Anser anser,Ánsar común,M,2019-10-28T07:00:19Z,2019-10-28 08:00:19,-6.011414,37.051548,765766.3,4104769.3,1.1,12,3.97
91,ANS01,Anser anser,Ánsar común,M,2019-10-28T08:00:15Z,2019-10-28 09:00:15,-6.013133,37.0517,765612.9,4104781.4,2.4,12,3.91
92,ANS01,Anser anser,Ánsar común,M,2019-10-28T09:01:29Z,2019-10-28 10:01:29,-6.011691,37.053416,765735.1,4104975.8,2.5,7,4.07
93,ANS01,Anser anser,Ánsar común,M,2019-10-28T10:00:59Z,2019-10-28 11:00:59,-6.011465,37.054966,765749.8,4105148.4,2.8,12,4.08
94,ANS01,Anser anser,Ánsar común,M,2019-10-28T11:01:13Z,2019-10-28 12:01:13,-6.00939,37.056822,765927.9,4105360.2,1.7,11,4.08
95,ANS01,Anser anser,Ánsar común,M,2019-10-28T12:02:25Z,2019-10-28 13:02:25,-6.01271,37.056889,765632.4,4105358.4,2.1,12,4.09
96,ANS01,Anser anser,Ánsar común,M,2019-10-28T13:00:11Z,2019-10-28 14:00:11,-6.013552,37.050221,765580.7,4104616.1,1.8,8,4.0
97,ANS01,Anser anser,Ánsar común,M,2019-10-28T14:01:44Z,2019-10-28 15:01:44,-6.012411,37.054355,765667.8,4105078.0,1.9,6,4.05
98,ANS01,Anser anser,Ánsar común,M,2019-10-28T15:00:39Z,2019-10-28 16:00:39,-6.014191,37.0548,765507.9,4105122.4,1.9,7,4.02
99,ANS01,Anser anser,Ánsar común,M,2019-10-28T16:01:48Z,2019-10-28 17:01:48,-6.013163,37.053866,765602.6,4105021.6,1.2,9,3.92
100,ANS01,Anser anser,Ánsar común,M,2019-10-28T17:00:56Z,2019-10-28 18:00:56,-6.015347,37.052889,765411.8,4104907.1,2.2,5,3.84
101,ANS01,Anser anser,Ánsar común,M,2019-10-28T18:01:15Z,2019-10-28 19:01:15,-6.252573,36.946082,744654.0,4092418.4,3.2,8,3.8
102,ANS01,Anser anser,Ánsar común,M,2019-10-28T19:01:41Z,2019-10-28 20:01:41,-6.253028,36.945495,744615.4,4092352.1,2.5,5,3.69
103,ANS01,Anser anser,Ánsar común,M,2019-10-28T20:02:00Z,2019-10-28 21:02:00,-6.253292,36.94614,744589.8,4092422.9,2.3,12,3.82
104,ANS01,Anser anser,Ánsar común,M,2019-10-28T21:01:47Z,2019-10-28 22:01:47,-6.252356,36.946381,744672.4,4092452.1,1.6,7,3.74
105,ANS01,Anser anser,Ánsar común,M,2019-10-28T22:02:24Z,2019-10-28 23:02:24,-6.252597,36.946449,744650.7,4092459.1,3.3,10,3.74
106,ANS01,Anser anser,Ánsar común,M,2019-10-28T23:01:52Z,2019-10-29 00:01:52,-6.252391,36.945897,744670.8,4092398.3,2.5,12,3.82
107,ANS01,Anser anser,Ánsar común,M,2019-10-29T00:02:01Z,2019-10-29 01:02:01,-6.252455,36.94603,744664.6,4092412.9,1.1,11,3.79
108,ANS01,Anser anser,Ánsar común,M,2019-10-29T01:00:11Z,2019-10-29 02:00:11,-6.252708,36.946047,744642.1,4092414.2,1.9,8,3.76
109,ANS01,Anser anser,Ánsar común,M,2019-10-29T02:02:23Z,2019-10-29 03:02:23,-6.252094,36.945504,744698.5,4092355.4,1.6,7,3.75
110,ANS01,Anser anser,Ánsar común,M,2019-10-29T03:01:19Z,2019-10-29 04:01:19,-6.252483,36.946467,744660.8,4092461.3,1.8,11,3.77
111,ANS01,Anser anser,Ánsar común,M,2019-10-29T04:02:23Z,2019-10-29 05:02:23,-6.252985,36.946462,744616.1,4092459.4,1.4,8,3.79
112,ANS01,Anser anser,Ánsar común,M,2019-10-29T05:00:53Z,2019-10-29 06:00:53,-6.252751,36.945778,744639.1,4092384.2,1.3,12,3.76
113,ANS01,Anser anser,Ánsar común,M,2019-10-29T06:01:26Z,2019-10-29 07:01:26,-6.252475,36.945306,744665.2,4092332.5,1.2,11,3.86
114,ANS01,Anser anser,Ánsar común,M,2019-10-29T07:00:11Z,2019-10-29 08:00:11,-6.18561,37.046626,750288.2,4103749.9,2.1,7,3.92
115,ANS01,Anser anser,Ánsar común,M,2019-10-29T08:01:08Z,2019-10-29 09:01:08,-6.184851,37.049043,750347.7,4104020.1,1.1,11,3.96
116,ANS01,Anser anser,Ánsar común,M,2019-10-29T09:00:57Z,2019-10-29 10:00:57,-6.188206,37.046311,750058.3,4103708.1,2.7,6,4.0
117,ANS01,Anser anser,Ánsar común,M,2019-10-29T10:01:19Z,2019-10-29 11:01:19,-6.18646,37.047002,750211.4,4103789.4,1.5,7,3.99
118,ANS01,Anser anser,Ánsar común,M,2019-10-29T11:01:18Z,2019-10-29 12:01:18,-6.182698,37.04564,750550.4,4103648.1,1.6,10,4.11
119,ANS01,Anser anser,Ánsar común,M,2019-10-29T13:01:26Z,2019-10-29 14:01:26,-6.183686,37.047996,750454.8,4103907.0,3.5,6,4.07
120,ANS01,Anser anser,Ánsar común,M,2019-10-29T15:00:58Z,2019-10-29 16:00:58,-6.183168,37.046639,750505.4,4103757.8,2.6,5,4.0
121,ANS01,Anser anser,Ánsar común,M,2019-10-29T16:00:00Z,2019-10-29 17:00:00,-6.180103,37.047719,750774.4,4103885.7,1.1,7,3.96
122,ANS01,Anser anser,Ánsar común,M,2019-10-29T17:02:10Z,2019-10-29 18:02:10,-6.252747,36.946291,744637.8,4092441.1,0.9,7,3.83
123,ANS01,Anser anser,Ánsar común,M,2019-10-29T18:00:40Z,2019-10-29 19:00:40,-6.252957,36.946159,744619.6,4092425.9,1.2,7,3.8
124,ANS01,Anser anser,Ánsar común,M,2019-10-29T19:00:53Z,2019-10-29 20:00:53,-6.252164,36.945994,744690.7,4092409.6,2.8,8,3.76
125,ANS01,Anser anser,Ánsar común,M,2019-10-29T20:01:51Z,2019-10-29 21:01:51,-6.252132,36.945802,744694.1,4092388.5,2.8,10,3.7
126,ANS01,Anser anser,Ánsar común,M,2019-10-29T21:02:12Z,2019-10-29 22:02:12,-6.25218,36.946276,744688.4,4092440.9,1.5,8,3.8
127,ANS01,Anser anser,Ánsar común,M,2019-10-29T22:01:47Z,2019-10-29 23:01:47,-6.816734,39.118347,688746.9,4332179.3,1.9,10,3.75
128,ANS01,Anser anser,Ánsar común,M,2019-10-29T23:00:04Z,2019-10-30 00:00:04,-6.252374,36.946061,744671.8,4092416.5,1.4,12,3.77
129,ANS01,Anser anser,Ánsar común,M,2019-10-30T00:01:53Z,2019-10-30 01:01:53,-6.25225,36.94586,744683.5,4092394.6,1.0,6,3.78
130,ANS01,Anser anser,Ánsar común,M,2019-10-30T01:01:59Z,2019-10-30 02:01:59,-6.252157,36.945535,744692.8,4092358.8,1.9,9,3.74
131,ANS01,Anser anser,Ánsar común,M,2019-10-30T02:00:44Z,2019-10-30 03:00:44,-6.252647,36.945507,744649.2,4092354.4,1.4,6,3.75
132,ANS01,Anser anser,Ánsar común,M,2019-10-30T03:02:26Z,2019-10-30 04:02:26,-6.252919,36.945524,744624.9,4092355.6,1.9,12,3.75
133,ANS01,Anser anser,Ánsar común,M,2019-10-30T04:01:32Z,2019-10-30 05:01:32,-6.251639,36.946144,744737.0,4092427.6,1.1,5,3.81
134,ANS01,Anser anser,Ánsar común,M,2019-10-30T05:00:31Z,2019-10-30 06:00:31,-6.252383,36.945839,744671.7,4092391.9,1.6,5,3.75
135,ANS01,Anser anser,Ánsar común,M,2019-10-30T06:00:46Z,2019-10-30 07:00:46,-6.253646,36.94561,744559.9,4092363.2,2.8,12,3.88
136,ANS01,Anser anser,Ánsar común,M,2019-10-30T07:00:48Z,2019-10-30 08:00:48,-6.179976,36.997108,750952.3,4098269.7,1.6,9,3.96
137,ANS01,Anser anser,Ánsar común,M,2019-10-30T08:02:05Z,2019-10-30 09:02:05,-6.175898,36.997275,751314.8,4098299.0,1.9,5,3.99
138,ANS01,Anser anser,Ánsar común,M,2019-10-30T09:02:28Z,2019-10-30 10:02:28,-6.17355,36.997713,751522.3,4098353.8,2.0,5,4.05
139,ANS01,Anser anser,Ánsar común,M,2019-10-30T10:00:30Z,2019-10-30 11:00:30,-6.181254,36.99738,750837.7,4098296.5,2.5,10,4.11
140,ANS01,Anser anser,Ánsar común,M,2019-10-30T11:00:18Z,2019-10-30 12:00:18,-6.178717,37.001846,751048.8,4098798.7,1.9,9,4.13
141,ANS01,Anser anser,Ánsar común,M,2019-10-30T12:00:25Z,2019-10-30 13:00:25,-6.176143,36.998035,751290.5,4098382.7,1.8,6,4.1
142,ANS01,Anser anser,Ánsar común,M,2019-10-30T14:01:25Z,2019-10-30 15:01:25,-6.176278,37.001108,751268.3,4098723.3,1.2,12,4.1
143,ANS01,Anser anser,Ánsar común,M,2019-10-30T15:00:05Z,2019-10-30 16:00:05,-6.174302,37.000856,751445.1,4098700.6,1.3,12,4.05
144,ANS01,Anser anser,Ánsar común,M,2019-10-30T16:00:21Z,2019-10-30 17:00:21,-6.179077,36.999614,751024.1,4098550.1,4.2,8,3.95
145,ANS01,Anser anser,Ánsar común,M,2019-10-30T17:00:00Z,2019-10-30 18:00:00,-6.176702,37.000743,751231.7,4098681.7,1.5,10,3.9
146,ANS01,Anser anser,Ánsar común,M,2019-10-30T18:01:13Z,2019-10-30 19:01:13,-6.252007,36.945925,744704.9,4092402.4,1.5,8,3.83
147,ANS01,Anser anser,Ánsar común,M,2019-10-30T19:00:31Z,2019-10-30 20:00:31,-6.25266,36.946544,744644.8,4092469.5,2.2,6,3.85
148,ANS01,Anser anser,Ánsar común,M,2019-10-30T20:01:21Z,2019-10-30 21:01:21,-6.252686,36.945577,744645.5,4092362.0,1.6,8,3.78
149,ANS01,Anser anser,Ánsar común,M,2019-10-30T21:02:04Z,2019-10-30 22:02:04,-6.252243,36.946011,744683.6,4092411.3,1.3,10,3.78
150,ANS01,Anser anser,Ánsar común,M,2019-10-30T22:01:29Z,2019-10-30 23:01:29,-6.252408,36.946129,744668.5,4092424.0,2.2,9,3.75
151,ANS01,Anser anser,Ánsar común,M,2019-10-30T23:00:24Z,2019-10-31 00:00:24,-6.252578,36.945682,744654.9,4092374.0,1.8,10,3.74
152,ANS01,Anser anser,Ánsar común,M,2019-10-31T00:00:09Z,2019-10-31 01:00:09,-6.253026,36.946145,744613.4,4092424.2,1.1,12,3.68
153,ANS01,Anser anser,Ánsar común,M,2019-10-31T01:00:40Z,2019-10-31 02:00:40,-6.252784,36.945526,744637.0,4092356.1,2.6,5,3.81
154,ANS01,Anser anser,Ánsar común,M,2019-10-31T02:01:28Z,2019-10-31 03:01:28,-6.252124,36.946222,744693.5,4092435.0,2.5,8,3.78
155,ANS01,Anser anser,Ánsar común,M,2019-10-31T03:01:53Z,2019-10-31 04:01:53,-6.252452,36.946231,744664.3,4092435.2,1.6,9,3.78
156,ANS01,Anser anser,Ánsar común,M,2019-10-31T04:00:18Z,2019-10-31 05:00:18,-6.252273,36.946175,744680.4,4092429.5,1.9,10,3.74
157,ANS01,Anser anser,Ánsar común,M,2019-10-31T05:02:28Z,2019-10-31 06:02:28,-6.252125,36.94591,744694.4,4092400.5,1.3,12,3.68
158,ANS01,Anser anser,Ánsar común,M,2019-10-31T06:00:06Z,2019-10-31 07:00:06,-6.252664,36.946806,744643.6,4092498.5,1.9,10,3.83
159,ANS01,Anser anser,Ánsar común,M,2019-10-31T07:00:02Z,2019-10-31 08:00:02,-6.064146,37.088856,760947.9,4108763.2,1.8,6,3.89
160,ANS01,Anser anser,Ánsar común,M,2019-10-31T08:00:37Z,2019-10-31 09:00:37,-6.05812,37.08689,761490.4,4108561.7,1.6,8,4.03
161,ANS01,Anser anser,Ánsar común,M,2019-10-31T09:02:20Z,2019-10-31 10:02:20,-6.062864,37.086486,761070.0,4108503.8,2.0,6,4.05
162,ANS01,Anser anser,Ánsar común,M,2019-10-31T10:00:04Z,2019-10-31 11:00:04,-6.062785,37.085339,761080.9,4108376.7,1.7,8,4.02
163,ANS01,Anser anser,Ánsar común,M,2019-10-31T11:00:40Z,2019-10-31 12:00:40,-6.063707,37.085278,760999.2,4108367.4,1.5,11,4.17
164,ANS01,Anser anser,Ánsar común,M,2019-10-31T12:01:14Z,2019-10-31 13:01:14,-6.065151,37.087422,760863.5,4108601.4,2.0,10,4.04
165,ANS01,Anser anser,Ánsar común,M,2019-10-31T13:01:06Z,2019-10-31 14:01:06,-6.065829,37.088054,760801.0,4108669.6,2.1,6,4.04
166,ANS01,Anser anser,Ánsar común,M,2019-10-31T14:02:09Z,2019-10-31 15:02:09,-6.068326,37.08678,760583.3,4108521.4,1.2,10,4.05
167,ANS01,Anser anser,Ánsar común,M,2019-10-31T15:00:32Z,2019-10-31 16:00:32,-6.062637,37.08853,761083.2,4108731.3,2.6,5,4.08
168,ANS01,Anser anser,Ánsar común,M,2019-10-31T16:01:13Z,2019-10-31 17:01:13,-6.063879,37.087574,760976.0,4108621.7,1.7,6,3.96
169,ANS01,Anser anser,Ánsar común,M,2019-10-31T17:02:03Z,2019-10-31 18:02:03,-6.064991,37.087445,760877.6,4108604.4,1.4,11,3.93
